id,market_id,product,unit,price_fcfa,observed_on,source,is_demo_data
1,1,maize,kg,220,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
2,2,maize,kg,205,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
3,3,maize,kg,185,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
4,4,maize,kg,235,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
5,1,rice,kg,440,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
6,2,rice,kg,410,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
7,3,rice,kg,430,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
8,4,rice,kg,460,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
9,1,millet,kg,280,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
10,2,millet,kg,260,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
11,3,millet,kg,250,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
12,4,millet,kg,290,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
13,1,sorghum,kg,250,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
14,2,sorghum,kg,235,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
15,3,sorghum,kg,225,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
16,4,sorghum,kg,265,2026-09-01,Données de démonstration sene-mcp (valeurs fictives),true
17,1,maize,kg,230,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
18,2,maize,kg,215,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
19,3,maize,kg,195,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
20,4,maize,kg,245,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
21,1,rice,kg,450,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
22,2,rice,kg,420,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
23,3,rice,kg,440,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
24,4,rice,kg,470,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
25,1,millet,kg,290,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
26,2,millet,kg,270,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
27,3,millet,kg,260,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
28,4,millet,kg,300,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
29,1,sorghum,kg,260,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
30,2,sorghum,kg,245,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
31,3,sorghum,kg,235,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
32,4,sorghum,kg,275,2026-09-15,Données de démonstration sene-mcp (valeurs fictives),true
